gradient1,gradient2,gradient3
-0.03795963483565886,0.06816088515910187,-0.006035740084514951
-0.030757101171889206,0.05817509331643506,0.026451724498882372
-0.0032299420245635374,0.10147846997201368,-0.043291226269341426
-0.00034482253185722027,0.11030093468696753,-0.023351534662680144
-0.0014518513804999368,0.10797541330992853,-0.038922210601564936
0.0009700547063212597,0.09740796727215305,-0.04957210813745764
-0.0587718004491969,0.006598251420815846,-0.017499647571259803
-0.029807430498057286,0.04321036710518611,0.05445465804984428
0.026274316759446588,0.08252743985482697,-0.015385410353939017
-0.005454024363012752,0.09645851537210832,-0.0351156511725051
-0.002276632772017647,0.080880538820337,-0.0437738716087804
0.027319457629890413,0.06127162912904769,-0.04788669059541224
-0.027074736648903534,0.08207147447537358,-0.03216182169836223
0.012578547872784753,0.10554351555491498,-0.0530161023855409
-0.00624966250716828,0.05972158824239601,-0.009712548935261914
-0.0018289655964412253,0.10403587347991576,-0.02971564296358458
-0.013914875987397239,0.09055747537719389,-0.006883653609978075
0.026546963034906227,0.0806214803239578,-0.023601472463910304
0.03924115166272488,0.060751727351157525,-0.05477368445867915
-0.0007300160472750988,0.09938791352462419,-0.03222545184695223
-0.013033583771317744,0.09925232159969292,-0.03688133216173579
-0.015424265734726793,0.08834982197770769,-0.04383305440685064
-0.014271727854369799,0.0925639776155823,0.025231226315014312
0.02412174014445792,0.06977674424084594,-0.05474149342386682
0.012898990217341401,0.10543926679049229,-0.03006008053362401
0.00346049461407598,0.09206601526028459,-0.006364564155174317
0.015317736683940491,0.09172312152106471,-0.03042495488265098
0.008213671691223477,0.07549798899617716,0.016722991819951846
0.017835811620938183,0.1002561118896555,-0.057866426722795336
0.07022499951954125,0.02374157163965202,-0.014571970817724916
0.027048609668539492,0.0023750022067378714,0.0364901663970642
-0.11661961279354802,-0.07515304922023996,-0.01600707379559603
-0.03913187965994425,0.0546729565375221,0.007168567049237586
-0.1161292618966189,-0.05715978639327692,0.005025964696064411
-0.10612622646174989,-0.05046284952188481,0.0254486944496998
-0.11764064170084176,-0.07199723519699237,-0.04012089689056452
-0.06106706621371365,0.031142247925105424,0.002210554953628318
-0.061119652754251644,0.019686409694190724,0.007144148587624894
