group,net_id,tde,gradient1,gradient2,gradient3,network,himoshpere,node
HC,7Networks_LH_Vis_1,-0.023626,-0.1963195730798793,17.588230709472903,0.48151514265409007,visual,LH,Vis_1
HC,7Networks_LH_Vis_2,-0.16548,-7.4367911010029895,8.919103889578059,-2.6174403993889785,visual,LH,Vis_2
HC,7Networks_LH_Vis_3,0.081689,0.68911736079696,19.051343770437242,2.2604778937861156,visual,LH,Vis_3
HC,7Networks_LH_Vis_4,-0.2332,3.3146673505500805,20.60918310533733,-3.905960101808529,visual,LH,Vis_4
HC,7Networks_LH_Vis_5,-0.17719,2.3354313802392053,21.18786015042364,-0.5313004821899988,visual,LH,Vis_5
HC,7Networks_LH_Vis_6,0.22563,-1.0484532945830756,17.490347841441682,2.24293080429821,visual,LH,Vis_6
HC,7Networks_LH_Vis_7,0.024449,-1.5248074567276717,15.407334960170335,-5.9583410430597015,visual,LH,Vis_7
HC,7Networks_LH_Vis_8,0.093372,0.9013561850075217,16.17164047359165,4.681286919220175,visual,LH,Vis_8
HC,7Networks_LH_Vis_9,0.13449,0.20748394177304524,19.233076367598002,2.1599469146142845,visual,LH,Vis_9
HC,7Networks_LH_Vis_10,-0.1326,5.951563653369165,19.380155415472927,-4.8405078704471345,visual,LH,Vis_10
HC,7Networks_LH_Vis_11,0.14665,2.7386789369183226,21.196798122253593,-2.425311887125984,visual,LH,Vis_11
HC,7Networks_LH_Vis_12,0.14032,-0.7564893149509505,18.067458096865217,2.7227172135528424,visual,LH,Vis_12
HC,7Networks_LH_Vis_13,0.11665,4.165031208204023,19.320103556729784,-5.727687121888939,visual,LH,Vis_13
HC,7Networks_LH_Vis_14,0.056278,0.44034129579232895,19.69231625571822,1.9633799327740595,visual,LH,Vis_14
HC,7Networks_LH_Vis_15,0.24426,0.5744198639372642,20.68869650850202,1.9536510128403066,visual,LH,Vis_15
HC,7Networks_LH_Vis_16,0.036784,4.99722597693214,19.126572090781448,-5.421243325958718,visual,LH,Vis_16
HC,7Networks_LH_Vis_17,-0.024577,1.802860569994243,18.770907489303912,0.9361410788273751,visual,LH,Vis_17
HC,7Networks_LH_Vis_18,-0.071171,2.5707857378861787,21.761954558699678,-1.58066531530307,visual,LH,Vis_18
HC,7Networks_LH_Vis_19,0.046496,0.7806304584055836,20.883507619770576,1.5181067896372973,visual,LH,Vis_19
HC,7Networks_LH_Vis_20,0.19227,2.8601019760172104,18.637078093432816,-5.598706413907661,visual,LH,Vis_20
HC,7Networks_LH_Vis_21,-0.071329,4.552649851543946,20.235080089364878,-4.664709212751185,visual,LH,Vis_21
HC,7Networks_LH_Vis_22,-0.12136,6.713155267641712,17.679913809637068,-5.739019274863225,visual,LH,Vis_22
HC,7Networks_LH_Vis_23,-0.075113,1.6059408059721296,18.068727485380602,2.5375905342658545,visual,LH,Vis_23
HC,7Networks_LH_Vis_24,0.0098317,2.929744005989181,22.377376496762835,-1.6247336827417052,visual,LH,Vis_24
HC,7Networks_LH_Vis_25,0.0031646,4.852039326885853,20.382162912117973,-4.489988686256769,visual,LH,Vis_25
HC,7Networks_LH_Vis_26,-0.16051,3.7951995194236328,17.566268178782355,-5.489200100640096,visual,LH,Vis_26
HC,7Networks_LH_Vis_27,-0.089563,2.5272645836882752,19.390052099842624,1.5302562374550182,visual,LH,Vis_27
HC,7Networks_LH_Vis_28,-0.092063,0.749601066574601,14.153947543698296,5.8181934836886375,visual,LH,Vis_28
HC,7Networks_LH_Vis_29,0.13354,3.3635123083154554,21.385397925845787,-2.551715248629685,visual,LH,Vis_29
HC,7Networks_LH_Vis_30,0.079721,4.358756134624258,17.853677918582648,-4.443670127595257,visual,LH,Vis_30
HC,7Networks_LH_Vis_31,0.041319,1.6159702413901418,13.369582463209673,7.2503167044908805,visual,LH,Vis_31
HC,7Networks_LH_SomMot_1,0.030292,19.676877503477456,-13.048250887238028,0.807281021610234,somMot,LH,SomMot_1
HC,7Networks_LH_SomMot_2,0.072696,19.364490220800306,-11.676406836690544,-0.12450089583882094,somMot,LH,SomMot_2
HC,7Networks_LH_SomMot_3,0.0029675,21.35875780659186,-13.25801327241305,0.7418936342031467,somMot,LH,SomMot_3
HC,7Networks_LH_SomMot_4,-0.13554,21.938461052153798,-12.199457076171404,0.48366722558768405,somMot,LH,SomMot_4
HC,7Networks_LH_SomMot_5,0.022719,23.043829769152914,-11.318943198975273,-1.0494253228552253,somMot,LH,SomMot_5
HC,7Networks_LH_SomMot_6,-0.026174,19.023716365209282,-11.722055648667805,0.09076560346854133,somMot,LH,SomMot_6
HC,7Networks_LH_SomMot_7,-0.047583,21.486738164828516,-12.229527583897553,-0.09493931870119723,somMot,LH,SomMot_7
HC,7Networks_LH_SomMot_8,0.0025318,22.794306565854257,-12.080538787787622,-0.3546728506217913,somMot,LH,SomMot_8
HC,7Networks_LH_SomMot_9,0.045534,22.047430134037906,-11.352465748943478,-0.16421166284471017,somMot,LH,SomMot_9
HC,7Networks_LH_SomMot_10,0.023534,23.084243158218964,-11.2708075894513,-0.9148852658686923,somMot,LH,SomMot_10
HC,7Networks_LH_SomMot_11,0.085084,22.98815000323521,-10.04717388921186,-0.7197631178437357,somMot,LH,SomMot_11
HC,7Networks_LH_SomMot_12,-0.1173,28.276935885155655,-6.494656001849514,-4.157930094637552,somMot,LH,SomMot_12
HC,7Networks_LH_SomMot_13,-0.024258,27.54975021434659,-4.152693440114735,-4.5771066642801275,somMot,LH,SomMot_13
